"No.","Time","Source","Destination","Protocol","Length","Info"
"456","32.937611","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","394","Application Data"
"457","32.937612","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","133","Application Data"
"458","32.937612","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","117","Application Data"
"459","32.937716","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","86","58743  >  443 [ACK] Seq=22454 Ack=802 Win=2041 Len=0 TSval=1495724025 TSecr=2482541014"
"460","33.037282","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","637","Application Data"
"461","33.037283","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","119","Application Data"
"462","33.037378","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","86","58743  >  443 [ACK] Seq=22454 Ack=1386 Win=2038 Len=0 TSval=1495724125 TSecr=2482541146"
"463","33.045914","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=1386 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"464","33.045919","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=2734 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"465","33.045921","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=4082 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"466","33.045925","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=5430 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"467","33.045927","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=6778 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"468","33.045929","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=8126 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"469","33.045931","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=9474 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"470","33.045933","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=10822 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"471","33.045936","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","1434","443  >  58743 [ACK] Seq=12170 Ack=22454 Win=26 Len=1348 TSval=2482541153 TSecr=1495724025 [TCP PDU reassembled in 472]"
"472","33.045939","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","1048","Application Data"
"473","33.045941","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","117","Application Data"
"474","33.046215","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","86","58743  >  443 [ACK] Seq=22454 Ack=14511 Win=1842 Len=0 TSval=1495724133 TSecr=2482541153"
"475","33.046349","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","86","[TCP Window Update] 58743  >  443 [ACK] Seq=22454 Ack=14511 Win=2048 Len=0 TSval=1495724133 TSecr=2482541153"
"477","34.274737","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=22454 Ack=14511 Win=2048 Len=1348 TSval=1495725362 TSecr=2482541153 [TCP PDU reassembled in 485]"
"478","34.274739","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=23802 Ack=14511 Win=2048 Len=1348 TSval=1495725362 TSecr=2482541153 [TCP PDU reassembled in 485]"
"479","34.274742","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=25150 Ack=14511 Win=2048 Len=1348 TSval=1495725362 TSecr=2482541153 [TCP PDU reassembled in 485]"
"480","34.274743","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=26498 Ack=14511 Win=2048 Len=1348 TSval=1495725362 TSecr=2482541153 [TCP PDU reassembled in 485]"
"481","34.274743","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=27846 Ack=14511 Win=2048 Len=1348 TSval=1495725362 TSecr=2482541153 [TCP PDU reassembled in 485]"
"482","34.274745","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=29194 Ack=14511 Win=2048 Len=1348 TSval=1495725362 TSecr=2482541153 [TCP PDU reassembled in 485]"
